iri,label,definition_original,definition_enriched
https://www.commoncoreontologies.org/ont00000427,Armored Fighting Vehicle,A Ground Motor Vehicle that is designed to be armored and used to transport and support military personal in combat missions.,Armored Fighting Vehicle is a Ground Motor Vehicle that is designed to be armored and used to transport and support military personal in combat missions.
https://www.commoncoreontologies.org/ont00000467,Armored Personnel Carrier,An Armored Fighting Vehicle that is designed to transport infantry to the battlefield but which are not usually designed to take part in a direct-fire battle.,Armored Personnel Carrier is an Armored Fighting Vehicle that is designed to transport infantry to the battlefield but which are not usually designed to take part in a direct-fire battle.
https://www.commoncoreontologies.org/ont00000178,Arrow,A Portion of Ammunition that is designed to be fired from a Bow and consists of a long straight stiff shaft with stabilizers (fletchings) and a slot (the nock) on one end and a weighted tip (the arrowhead) on the other end.,Arrow is a Portion of Ammunition that is designed to be fired from a Bow and consists of a long straight stiff shaft with stabilizers (fletchings) and a slot (the nock) on one end and a weighted tip (the arrowhead) on the other end.
https://www.commoncoreontologies.org/ont00001313,Article of Clothing,A Material Artifact that is designed to cover some portion of a body.,Article of Clothing is a Material Artifact that is designed to cover some portion of a body.
https://www.commoncoreontologies.org/ont00000571,Article of Solid Waste,A Portion of Waste Material that has a low liquid content.,Article of Solid Waste is a Portion of Waste Material that has a low liquid content.
https://www.commoncoreontologies.org/ont00000319,Artifact Design,"A Directive Information Content Entity that is a specification of an object, manifested by an agent, intended to accomplish goals, in a particular environment, using a set of primitive components, satisfying a set of requirements, subject to constraints.","Artifact Design is a Directive Information Content Entity that is a specification of an object, manifested by an agent, intended to accomplish goals, in a particular environment, using a set of primitive components, satisfying a set of requirements, subject to constraints."
https://www.commoncoreontologies.org/ont00000323,Artifact Function,A Function that inheres in some Artifact in virtue of that Artifact being designed to be used in processes that require that Function to be realized.,Artifact Function is a Function that inheres in some Artifact in virtue of that Artifact being designed to be used in processes that require that Function to be realized.
https://www.commoncoreontologies.org/ont00000118,Artifact Function Specification,A Directive Information Content Entity that prescribes some Artifact Function and which is part of some Artifact Model.,Artifact Function Specification is a Directive Information Content Entity that prescribes some Artifact Function and which is part of some Artifact Model.
https://www.commoncoreontologies.org/ont00000856,Artifact History,A History of an Artifact.,Artifact History is a History of an Artifact.
https://www.commoncoreontologies.org/ont00000292,Artifact Identifier,A Designative Information Content Entity which designates some Artifact.,Artifact Identifier is a Designative Information Content Entity that designates some Artifact.
https://www.commoncoreontologies.org/ont00000591,Artifact Location,A Site that is the location of some Artifact.,Artifact Location is a Site that is the location of some Artifact.
https://www.commoncoreontologies.org/ont00001045,Artifact Model,A Directive Information Content Entity that prescribes a common set of Functions and Qualities to inhere in a set of artifact instances.,Artifact Model is a Directive Information Content Entity that prescribes a common set of Functions and Qualities to inhere in a set of artifact instances.
https://www.commoncoreontologies.org/ont00001103,Artifact Model Name,A Designative Information Content Entity that designates some Artifact Model.,Artifact Model Name is a Designative Information Content Entity that designates some Artifact Model.
https://www.commoncoreontologies.org/ArtifactOntology,Artifact Ontology,nan,Artifact Ontology is described as: nan.
https://www.commoncoreontologies.org/ont00001248,Artificial Eye,A Prosthesis that is designed to replace a missing eye.,Artificial Eye is a Prosthesis that is designed to replace a missing eye.
https://www.commoncoreontologies.org/ont00000968,Assault Rifle,A Rifle that is designed to have selective-fire functionality and use an intermediate Cartridge and a detachable magazine.,Assault Rifle is a Rifle that is designed to have selective-fire functionality and use an intermediate Cartridge and a detachable magazine.
https://www.commoncoreontologies.org/ont00000679,Attitude Control Artifact Function,An Artifact Function that is realized by an Artifact participating in an attitude control process.,Attitude Control Artifact Function is an Artifact Function that is realized by an Artifact participating in an attitude control process.
https://www.commoncoreontologies.org/ont00001011,Automobile,A Ground Motor Vehicle that is designed to transport a small number of passengers while traveling on four tired wheels.,A Ground Motor Vehicle that is designed to transport a small number of passengers on roads.
https://www.commoncoreontologies.org/ont00000086,Autopilot System,A Vehicle Control System that is designed to enable some Agent to control the trajectory of a Vehicle without constant 'hands-on' control.,Autopilot System is a Vehicle Control System that is designed to enable some Agent to control the trajectory of a Vehicle without constant 'hands-on' control.
https://www.commoncoreontologies.org/ont00000049,Banknote,A Portion of Cash that consists of a portable slips of paper or fabric designed to bear some specified Financial Value.,A Portion of Cash that consists of a portable slip of paper or fabric designed to bear some specified Financial Value.
https://www.commoncoreontologies.org/ont00000668,Battery Terminal,A Material Artifact that is designed to connect a load or charger to a single or multiple-cell Battery.,Battery Terminal is a Material Artifact that is designed to connect a load or charger to a single or multiple-cell Battery.
https://www.commoncoreontologies.org/ont00001323,Bearing Artifact Function,"An Artifact Function that is realized in processes in which the Artifact constrains relative motion to only the desired motion, and reduces friction between moving parts.","Bearing Artifact Function is an Artifact Function that is realized in processes in which the Artifact constrains relative motion to only the desired motion, and reduces friction between moving parts."
https://www.commoncoreontologies.org/ont00001138,Beverage Antenna,A Wire Antenna that consists of a horizontal wire one-half to two wavelengths long that is suspended above the ground with one end attached to the receiver feedline and the other grounded and which is typically used in the low and medium frequency radio bands.,Beverage Antenna is a Wire Antenna that consists of a horizontal wire one-half to two wavelengths long that is suspended above the ground with one end attached to the receiver feedline and the other grounded and which is typically used in the low and medium frequency radio bands.
https://www.commoncoreontologies.org/ont00000840,Bicycle,"A Ground Vehicle that consists of two wheels, one in front of the other, attached to a frame along with handlebars and pedals such that it is designed to receive its motive power from pedaling.","Bicycle is a Ground Vehicle that consists of two wheels, one in front of the other, attached to a frame along with handlebars and pedals such that it is designed to receive its motive power from pedaling."
https://www.commoncoreontologies.org/ont00000092,Bidirectional Transducer,"A Transducer that is designed to receive a signal in the form of physical phenomena and convert it into an electrical signal, and vice versa.","Bidirectional Transducer is a Transducer that is designed to receive a signal in the form of physical phenomena and convert it into an electrical signal, and vice versa."
https://www.commoncoreontologies.org/ont00001008,Biological Weapon,"A Weapon that is designed to inflict harm, incapacity, or death by means of releasing disease-producing agents—such as bacteria, viruses, or fungi.","Biological Weapon is a Weapon that is designed to inflict harm, incapacity, or death by means of releasing disease-producing agents—such as bacteria, viruses, or fungi."
https://www.commoncoreontologies.org/ont00001159,Bond,A Financial Instrument that is designed to secure an Agent's debt for the holders of that debt.,Bond is a Financial Instrument that is designed to secure an Agent's debt for the holders of that debt.
https://www.commoncoreontologies.org/ont00000536,Bond Certificate,A Bond that consists of a Certificate.,Bond Certificate is a Bond that consists of a Certificate.
https://www.commoncoreontologies.org/ont00001373,Bow,A Projectile Launcher that is designed to launch Arrows.,Bow is a Projectile Launcher that is designed to launch Arrows.
https://www.commoncoreontologies.org/ont00000342,Brake,A Material Artifact that is designed to inhibit the Vehicle's Motion by absorbing energy from a moving system.,"A Material Artifact that is designed to inhibit motion in a moving system by absorbing or dissipating energy (e.g., in vehicles or machinery)."
https://www.commoncoreontologies.org/ont00000877,Brake Control System,"A Vehicle Control System that is designed to control the process of braking with the aim of preventing rolling, skidding, and hydroplaning.","Brake Control System is a Vehicle Control System that is designed to control the process of braking with the aim of preventing rolling, skidding, and hydroplaning."
https://www.commoncoreontologies.org/ont00001099,Bridge,A Land Transportation Artifact that is designed to span physical obstacles without closing the way underneath to enable Persons or Ground Vehicles to pass over the obstacles.,"A Land Transportation Artifact that is designed to span physical obstacles such as land or water while maintaining passage beneath, enabling persons and vehicles to pass over the obstacle."
https://www.commoncoreontologies.org/ont00000748,Bullet,"A Portion of Ammunition that is designed to be projected by a Firearm, Sling, Slingshot, or Air Gun, but which does not (typically) contain explosives.","Bullet is a Portion of Ammunition that is designed to be projected by a Firearm, Sling, Slingshot, or Air Gun, but which does not (typically) contain explosives."
https://www.commoncoreontologies.org/ont00001292,Bus,A Ground Motor Vehicle that is designed to transport a large number of people and to travel on six or more tired wheels.,A Ground Motor Vehicle that is designed to transport many passengers on roads; wheel and axle configurations may vary.
https://www.commoncoreontologies.org/ont00001249,Cabin Pressurization Control System,An Environment Control System that is designed to control the process in which conditioned air is pumped into the Cabin of some Aircraft or Spacecraft in order to create a safe and comfortable environment for passengers and crew flying at high altitudes.,Cabin Pressurization Control System is an Environment Control System that is designed to control the process in which conditioned air is pumped into the Cabin of some Aircraft or Spacecraft in order to create a safe and comfortable environment for passengers and crew flying at high altitudes.
https://www.commoncoreontologies.org/ont00000199,Camera,An Imaging Instrument that is designed to form and digitally or physically record an image of an entity.,Camera is an Imaging Instrument that is designed to form and digitally or physically record an image of an entity.
https://www.commoncoreontologies.org/ont00000747,Canal,A Water Transportation Artifact that is an artificial Hydrographic Feature designed to convey water or enable Watercraft to travel inland.,Canal is a Water Transportation Artifact that is an artificial Hydrographic Feature designed to convey water or enable Watercraft to travel inland.
https://www.commoncoreontologies.org/ont00000268,Cannon,"A Projectile Launcher that is designed to use a controlled explosion to launch a relatively large Portion of Ammunition, such as a Round Shot or a Shell, at a significant Velocity.","Cannon is a Projectile Launcher that is designed to use a controlled explosion to launch a relatively large Portion of Ammunition, such as a Round Shot or a Shell, at a significant Velocity."
https://www.commoncoreontologies.org/ont00000143,Cargo Cabin,A Vehicle Compartment that is used to store goods or materials during transportation.,Cargo Cabin is a Vehicle Compartment that is used to store goods or materials during transportation.
https://www.commoncoreontologies.org/ont00001003,Cartridge,"A Portion of Ammunition that is designed to package a Bullet, a propellant substance, and a primer within a case that is designed to fit within the firing chamber of a Firearm.","Cartridge is a Portion of Ammunition that is designed to package a Bullet, a propellant substance, and a primer within a case that is designed to fit within the firing chamber of a Firearm."
https://www.commoncoreontologies.org/ont00000792,Catadioptric Optical Telescope,An Optical Telescope that is designed to aid in the observation of spatially distant Objects by means of collecting and focusing visible light through the use of a combination of Lenses and Mirrors to form an enhanced image of the Object.,Catadioptric Optical Telescope is an Optical Telescope that is designed to aid in the observation of spatially distant Objects by means of collecting and focusing visible light through the use of a combination of Lenses and Mirrors to form an enhanced image of the Object.
https://www.commoncoreontologies.org/ont00000267,Catalyst Artifact Function,"A Chemical Reaction Artifact Function that is realized in a process in which the rate of a chemical reaction is increased due to the participation of an additional substance, without that substance being consumed in the reaction.","Catalyst Artifact Function is a Chemical Reaction Artifact Function that is realized in a process in which the rate of a chemical reaction is increased due to the participation of an additional substance, without that substance being consumed in the reaction."
https://www.commoncoreontologies.org/ont00001095,Cellular Telecommunication Network,A Wireless Telecommunication Network where the last link between the network and the end user is wireless and is distributed over service areas called cells.,Cellular Telecommunication Network is a Wireless Telecommunication Network where the last link between the network and the end user is wireless and is distributed over service areas called cells.
https://www.commoncoreontologies.org/ont00000791,Chemical Reaction Artifact Function,An Artifact Function that is realized in a process that leads to the transformation of one set of chemical substances to another.,Chemical Reaction Artifact Function is an Artifact Function that is realized in a process that leads to the transformation of one set of chemical substances to another.
https://www.commoncoreontologies.org/ont00000212,Chemical Weapon,"A Weapon that is designed to inflict harm, damage, or incapacity by means of releasing toxic chemicals.","Chemical Weapon is a Weapon that is designed to inflict harm, damage, or incapacity by means of releasing toxic chemicals."
https://www.commoncoreontologies.org/ont00001343,Circuit Breaker,A Material Artifact that is designed to protect an electrical circuit from damage caused by excess current from an overload or short circuit.,Circuit Breaker is a Material Artifact that is designed to protect an electrical circuit from damage caused by excess current from an overload or short circuit.
https://www.commoncoreontologies.org/ont00000665,Cleaning Artifact Function,An Artifact Function that is realized in processes in which some Artifact is used to remove foreign objects from another object.,Cleaning Artifact Function is an Artifact Function that is realized in processes in which some Artifact is used to remove foreign objects from another object.
https://www.commoncoreontologies.org/ont00001093,Coin,"A Portion of Cash that consists of a flat, portable, round pieces of metal designed to bear some specified Financial Value.","A Portion of Cash that consists of a flat, portable, round piece of metal designed to bear some specified Financial Value."
https://www.commoncoreontologies.org/ont00000451,Collimation Artifact Function,An Artifact Function that is realized by an Artifact participating in a collimation event in which the Artifact narrows a beam of particles or waves by either causing the spatial cross-section of the beam to become smaller or by causing the directions of motion of the beam's constituents to be aligned in a specifc direction of Motion.,Collimation Artifact Function is an Artifact Function that is realized by an Artifact participating in a collimation event in which the Artifact narrows a beam of particles or waves by either causing the spatial cross-section of the beam to become smaller or by causing the directions of motion of the beam's constituents to be aligned in a specifc direction of Motion.
https://www.commoncoreontologies.org/ont00000397,Combustion Chamber,A Material Artifact that is designed to wholly or partially bound an internal Site where a Combustion process is intended to occur.,Combustion Chamber is a Material Artifact that is designed to wholly or partially bound an internal Site where a Combustion process is intended to occur.
https://www.commoncoreontologies.org/ont00000746,Combustion Engine,A Heat Engine that is designed to convert thermal energy that is generated through a local Combustion process into mechanical energy.,Combustion Engine is a Heat Engine that is designed to convert thermal energy that is generated through a local Combustion process into mechanical energy.
https://www.commoncoreontologies.org/ont00001097,Common Stock,Stock that entitles its holder to voting on corporate decisions.,Common Stock is a Stock that entitles its holder to voting on corporate decisions.
https://www.commoncoreontologies.org/ont00000727,Communication Artifact Function,An Artifact Function that is realized in a process in which meaningful signs are conveyed from one entity to another.,Communication Artifact Function is an Artifact Function that is realized in a process in which meaningful signs are conveyed from one entity to another.
https://www.commoncoreontologies.org/ont00000346,Communication Instrument,A Material Artifact that is designed to facilitate communication between at least two entities.,Communication Instrument is a Material Artifact that is designed to facilitate communication between at least two entities.
https://www.commoncoreontologies.org/ont00000273,Communication Interference Artifact Function,An Artifact Function that is realized during events in which an Artifact is used to interfere with the transmission of information for the purpose of preventing communication.,Communication Interference Artifact Function is an Artifact Function that is realized during events in which an Artifact is used to interfere with the transmission of information for the purpose of preventing communication.
https://www.commoncoreontologies.org/ont00000422,Communication Reception Artifact Function,An Artifact Function that is realized during events in which an Artifact is used to receive information that has been transmitted for the purpose of communiction.,Communication Reception Artifact Function is an Artifact Function that is realized during events in which an Artifact is used to receive information that has been transmitted for the purpose of communiction.
https://www.commoncoreontologies.org/ont00001169,Communication Relay Artifact Function,An Artifact Function that is realized during events in which an Artifact is used to first receive and then transmit information from one Artifact to another for the purpose of communiction.,Communication Relay Artifact Function is an Artifact Function that is realized during events in which an Artifact is used to first receive and then transmit information from one Artifact to another for the purpose of communiction.
https://www.commoncoreontologies.org/ont00001036,Communication System,"A Material Artifact that is designed to enable some Act of Communication by means of transmission systems, relay stations, tributary stations, and data terminal equipment, usually capable of interconnection and interoperation to form an integrated whole.","Communication System is a Material Artifact that is designed to enable some Act of Communication by means of transmission systems, relay stations, tributary stations, and data terminal equipment, usually capable of interconnection and interoperation to form an integrated whole."
https://www.commoncoreontologies.org/ont00000097,Complex Optical Lens,An Optical Lens consisting of more than one Simple Optical Lenses.,An Optical Lens consisting of more than one Simple Optical Lens.
https://www.commoncoreontologies.org/ont00000758,Component Role,A Role that inheres in an entity having a discrete structure in virtue of that entity being part of a system considered at a particular level of analysis.,Component Role is a Role that inheres in an entity having a discrete structure in virtue of that entity being part of a system considered at a particular level of analysis.
https://www.commoncoreontologies.org/ont00000807,Compression Ignition Engine,An Internal Combustion Engine that is designed to operate by igniting a portion of Fuel and Oxidizer mixture using heat generated via compression of the mixture.,Compression Ignition Engine is an Internal Combustion Engine that is designed to operate by igniting a portion of Fuel and Oxidizer mixture using heat generated via compression of the mixture.
https://www.commoncoreontologies.org/ont00000454,Compression Ignition System,An Ignition System that is designed to generate heat by compressing a portion of fuel and oxidizer mixture in order to initiate an Ignition process.,Compression Ignition System is an Ignition System that is designed to generate heat by compressing a portion of fuel and oxidizer mixture in order to initiate an Ignition process.
https://www.commoncoreontologies.org/ont00000420,Computer,An Information Processing Artifact that is designed to execute an arbitrary set of arithmetic or logical operations automatically.,Computer is an Information Processing Artifact that is designed to execute an arbitrary set of arithmetic or logical operations automatically.
https://www.commoncoreontologies.org/ont00000700,Computer Network,A Telecommunication Network that is designed to allow the exchange of data between two or more computers connected to the network.,Computer Network is a Telecommunication Network that is designed to allow the exchange of data between two or more computers connected to the network.
https://www.commoncoreontologies.org/ont00000932,Computing Artifact Function,An Artifact Function that is realized by an Artifact participating in a computation process.,Computing Artifact Function is an Artifact Function that is realized by an Artifact participating in a computation process.
https://www.commoncoreontologies.org/ont00000020,Container,A Material Artifact that is designed to contain (wholly or partially) some material entity.,Container is a Material Artifact that is designed to contain (wholly or partially) some material entity.
https://www.commoncoreontologies.org/ont00000651,Containing Artifact Function,An Artifact Function that is realized in a process in which one entity contains another.,Containing Artifact Function is an Artifact Function that is realized in a process in which one entity contains another.
https://www.commoncoreontologies.org/ont00000095,Control Surface,"A Material Artifact that is designed to deflect air, water, or another medium around its surface in order to change the Attitude of a Vehicle by rotating the Vehicle on one or more of its Axes of Rotation.","Control Surface is a Material Artifact that is designed to deflect air, water, or another medium around its surface in order to change the Attitude of a Vehicle by rotating the Vehicle on one or more of its Axes of Rotation."
https://www.commoncoreontologies.org/ont00000781,Control System,"A Material Artifact that is designed to manage, command, direct, or regulate the behavior of at least one other Artifact.","Control System is a Material Artifact that is designed to manage, command, direct, or regulate the behavior of at least one other Artifact."
https://www.commoncoreontologies.org/ont00000586,Controllable Pitch Propeller,A Propeller whose blades are designed to be alterable by rotating the blades about their vertical axis by means of mechanical or hydraulic arrangement.,Controllable Pitch Propeller is a Propeller whose blades are designed to be alterable by rotating the blades about their vertical axis by means of mechanical or hydraulic arrangement.
https://www.commoncoreontologies.org/ont00001015,Controlled-Access Highway,"A Highway that is designed for high-speed vehicular traffic, with all traffic flow and ingress/egress regulated.","Controlled-Access Highway is a Highway that is designed for high-speed vehicular traffic, with all traffic flow and ingress/egress regulated."
https://www.commoncoreontologies.org/ont00000698,Convergent-Divergent Nozzle,A Nozzle that consists of a tube with an asymmetric hourglass shape that is designed to accelerate hot pressurized gas by converting the heat energy of the gas flow into kinetic energy as it passes through the Nozzle Throat to generate increased Exhaust Velocity of the gas as it exits the Nozzle.,Convergent-Divergent Nozzle is a Nozzle that consists of a tube with an asymmetric hourglass shape that is designed to accelerate hot pressurized gas by converting the heat energy of the gas flow into kinetic energy as it passes through the Nozzle Throat to generate increased Exhaust Velocity of the gas as it exits the Nozzle.
https://www.commoncoreontologies.org/ont00000034,Conveyance Artifact Function,A Motion Artifact Function that is realized in a process in which the bearer of the function conveys entities from one location to another.,Conveyance Artifact Function is a Motion Artifact Function that is realized in a process in which the bearer of the function conveys entities from one location to another.
https://www.commoncoreontologies.org/ont00000002,Cooling Artifact Function,An Artifact Function that is realized in a process in which the thermal energy of a system decreases.,Cooling Artifact Function is an Artifact Function that is realized in a process in which the thermal energy of a system decreases.
https://www.commoncoreontologies.org/ont00000350,Cooling System,An Environment Control System that is designed to cool the air or objects in a Site.,Cooling System is an Environment Control System that is designed to cool the air or objects in a Site.
https://www.commoncoreontologies.org/ont00000282,Counterfeit Financial Instrument,A Counterfeit Instrument that is designed to be a fake replica of some legally sanctioned Financial Instrument.,Counterfeit Financial Instrument is a Counterfeit Instrument that is designed to be a fake replica of some legally sanctioned Financial Instrument.
https://www.commoncoreontologies.org/ont00000719,Counterfeit Instrument,A Material Artifact that is designed to be a fake replica of some genuine Artifact.,Counterfeit Instrument is a Material Artifact that is designed to be a fake replica of some genuine Artifact.
https://www.commoncoreontologies.org/ont00001161,Counterfeit Legal Instrument,A Counterfeit Instrument that is designed to be a fake replica of some genuine Legal Instrument.,Counterfeit Legal Instrument is a Counterfeit Instrument that is designed to be a fake replica of some genuine Legal Instrument.
https://www.commoncoreontologies.org/ont00000458,Coupling,A Material Artifact that is designed to connect two Shafts together at their ends for the purpose of transmitting power.,Coupling is a Material Artifact that is designed to connect two Shafts together at their ends for the purpose of transmitting power.
https://www.commoncoreontologies.org/ont00001310,Covering Artifact Function,An Artifact Function that is realized in a process in which an entity is covered.,Covering Artifact Function is an Artifact Function that is realized in a process in which an entity is covered.
https://www.commoncoreontologies.org/ont00001233,Crushing Artifact Function,A Damaging Artifact Function that is realized in a process in which the structural integrity of an entity is impaired because of significant pressure.,Crushing Artifact Function is a Damaging Artifact Function that is realized in a process in which the structural integrity of an entity is impaired because of significant pressure.
https://www.commoncoreontologies.org/ont00000720,Cryogenic Storage Dewar,"A Container that is designed to store a Portion of Cryogenic Material (such as liquid helium or liquid oxygen) and which consists of, minimally, walls that are constructed from two or more layers that are separated by a high vacuum to provide thermal insulation between the interior and exterior of the dewar.","Cryogenic Storage Dewar is a Container that is designed to store a Portion of Cryogenic Material (such as liquid helium or liquid oxygen) and which consists of, minimally, walls that are constructed from two or more layers that are separated by a high vacuum to provide thermal insulation between the interior and exterior of the dewar."
https://www.commoncoreontologies.org/ont00000961,Current Conversion Artifact Function,An Electrical Artifact Function that is realized by processes in which some Artifact is used to convert some electrical current.,Current Conversion Artifact Function is an Electrical Artifact Function that is realized by processes in which some Artifact is used to convert some electrical current.
https://www.commoncoreontologies.org/ont00000534,Cutting Artifact Function,A Damaging Artifact Function that is realized in a process in which the structural integrity of an entity is impaired by being opened or divided.,Cutting Artifact Function is a Damaging Artifact Function that is realized in a process in which the structural integrity of an entity is impaired by being opened or divided.
https://www.commoncoreontologies.org/ont00000081,Cutting Weapon,"A Weapon that is designed to inflict harm, damage, or incapacity by means of separating some portion of its target into two or more portions through the application of acutely directed force.","Cutting Weapon is a Weapon that is designed to inflict harm, damage, or incapacity by means of separating some portion of its target into two or more portions through the application of acutely directed force."
https://www.commoncoreontologies.org/ont00000561,Dam,A Material Artifact that is designed to impound surface water or underground streams.,Dam is a Material Artifact that is designed to impound surface water or underground streams.
https://www.commoncoreontologies.org/ont00001153,Damaging Artifact Function,An Artifact Function that is realized in a process in which the structural integrity of an entity is impaired.,Damaging Artifact Function is an Artifact Function that is realized in a process in which the structural integrity of an entity is impaired.
https://www.commoncoreontologies.org/ont00000629,Deception Artifact Function,An Artifact Function that is realized in processes which misinform or mislead some other entity.,Deception Artifact Function is an Artifact Function that is realized in processes which misinform or mislead some other entity.
https://www.commoncoreontologies.org/ont00000652,Decoy,A Material Artifact that is designed to distract or conceal what an individual or group might be looking for.,Decoy is a Material Artifact that is designed to distract or conceal what an individual or group might be looking for.
https://www.commoncoreontologies.org/ont00000001,Deflecting Prism,A Prism designed to deflect a beam of light entering the Prism by a fixed angle.,Deflecting Prism is a Prism designed to deflect a beam of light entering the Prism by a fixed angle.
https://www.commoncoreontologies.org/ont00000538,Defoliant Artifact Function,An Herbicide Artifact Function that is realized in a process that causes a plant to lose its leaves.,Defoliant Artifact Function is a Herbicide Artifact Function that is realized in a process that causes a plant to lose its leaves.
https://www.commoncoreontologies.org/ont00001188,Denture,A Prosthesis that is designed to replace missing teeth.,Denture is a Prosthesis that is designed to replace missing teeth.
https://www.commoncoreontologies.org/ont00000686,Designative Information Content Entity,An Information Content Entity that consists of a set of symbols that denote some Entity.,Designative Information Content Entity is an Information Content Entity that consists of a set of symbols that denote some Entity.
https://www.commoncoreontologies.org/ont00000171,Detergent Artifact Function,A Surfactant Artifact Function that is realized in a process that cleans substances in dilute solutions.,Detergent Artifact Function is a Surfactant Artifact Function that is realized in a process that cleans substances in dilute solutions.
https://www.commoncoreontologies.org/ont00000491,Detonating Artifact Function,An Artifact Function that is realized in processes of combustion involving a supersonic exothermic front accelerating through a medium that eventually drives a shock front propagating directly in front of it.,Detonating Artifact Function is an Artifact Function that is realized in processes of combustion involving a supersonic exothermic front accelerating through a medium that eventually drives a shock front propagating directly in front of it.
https://www.commoncoreontologies.org/ont00000403,Diffraction Artifact Function,An Artifact Function that is realized by an Artifact participating in a diffraction event in which the Artifact forces a wave to bend around the corners of an obstacle or aperture into the region of geometrical shadow of the obstacle.,Diffraction Artifact Function is an Artifact Function that is realized by an Artifact participating in a diffraction event in which the Artifact forces a wave to bend around the corners of an obstacle or aperture into the region of geometrical shadow of the obstacle.
https://www.commoncoreontologies.org/ont00000230,Diffraction Grating,An Optical Instrument with a periodic structure that is designed to split and defract a beam of light into several beams travelling in different directions.,Diffraction Grating is an Optical Instrument with a periodic structure that is designed to split and defract a beam of light into several beams travelling in different directions.
https://www.commoncoreontologies.org/ont00001179,Digital Storage Device,An Information Medium Artifact that is designed to bear some Information Content Entity by means of recording that information in digital (binary) format.,Digital Storage Device is an Information Medium Artifact that is designed to bear some Information Content Entity by means of recording that information in digital (binary) format.
https://www.commoncoreontologies.org/ont00001304,Dimension Specification,An Quality Specification that prescribes some Size Quality.,Dimension Specification is a Quality Specification that prescribes some Size Quality.
https://www.commoncoreontologies.org/ont00000790,Direct Current Power Source,An Electrical Power Source that is designed to transfer electrical power in the form of direct current.,Direct Current Power Source is an Electrical Power Source that is designed to transfer electrical power in the form of direct current.
https://www.commoncoreontologies.org/ont00000965,Directive Information Content Entity,An Information Content Entity that consists of a set of propositions or images (as in the case of a blueprint) that prescribe some Entity.,Directive Information Content Entity is an Information Content Entity that consists of a set of propositions or images (as in the case of a blueprint) that prescribe some Entity.
https://www.commoncoreontologies.org/ont00001223,Dish Receiver,A Radio Receiver that uses a Parabolic (or Dish) Antenna to intercept radio signals.,Dish Receiver is a Radio Receiver that uses a Parabolic (or Dish) Antenna to intercept radio signals.
https://www.commoncoreontologies.org/ont00000028,Dispersive Prism,A Prism designed to break up a beam of light entering the Prism into its constituent spectral colors by leveraging the refractive index of light based on its Frequency.,Dispersive Prism is a Prism designed to break up a beam of light entering the Prism into its constituent spectral colors by leveraging the refractive index of light based on its Frequency.
https://www.commoncoreontologies.org/ont00000657,Distance Measurement Artifact Function,A Measurement Artifact Function that is realized during events in which an Artifact is used to measure the spatial Distance to a specified object or class of objects.,Distance Measurement Artifact Function is a Measurement Artifact Function that is realized during events in which an Artifact is used to measure the spatial Distance to a specified object or class of objects.
